data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_molecolare,tamponi_test_antigenico_rapido
2021-01-19T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,443,44,487,10559,11046,-336,113,27147,1342,39535,582757,296475,39535,8502
2021-01-19T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,77,5,82,6859,6941,38,60,5325,302,12568,201803,125394,12568,1157
2021-01-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,305,24,329,9766,10095,-119,191,18886,539,29520,485497,462406,29519,301
2021-01-19T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1468,97,1565,70315,71880,-782,651,133205,3429,208514,2255000,1503706,208273,4297
2021-01-19T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2520,232,2752,50489,53241,-989,1034,142061,8872,204174,2843983,1305531,204174,23291
2021-01-19T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,691,63,754,11831,12585,-100,454,46657,2131,61373,1049086,375814,60659,9671
2021-01-19T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2768,305,3073,72163,75236,-2109,1100,111905,4474,191615,3014033,2187526,191335,74455
2021-01-19T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,643,60,703,4108,4811,-238,235,58305,3145,66261,785085,348468,66261,9372
2021-01-19T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3619,425,4044,49417,53461,-103,930,436485,26339,516285,5272645,2739301,516142,31529
2021-01-19T17:00:00,ITA,11,Marche,43.61675973,13.5188753,587,85,672,8868,9540,-711,359,39277,1810,50627,627246,374409,50627,4254
2021-01-19T17:00:00,ITA,14,Molise,41.55774754,14.65916051,62,9,71,1025,1096,11,18,6270,238,7604,127978,116346,7604,187
2021-01-19T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,212,30,242,12224,12466,353,436,20834,820,34120,414343,171790,33102,18519
2021-01-19T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,271,46,317,1771,2088,-275,143,22103,1081,25272,490433,158063,24804,4068
2021-01-19T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2500,168,2668,11770,14438,-351,716,191020,8453,213911,1849979,1042663,213438,50367
2021-01-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1354,142,1496,53695,55191,-321,850,52598,2892,110681,1197220,718201,110561,5413
2021-01-19T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,506,53,559,16863,17422,-194,109,17682,915,36019,533721,445558,36019,1844
2021-01-19T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1456,211,1667,45860,47527,642,1641,73057,3064,123648,1498556,917147,123648,106226
2021-01-19T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,715,121,836,7419,8255,-78,241,116163,4020,128438,2059639,1122905,128419,20956
2021-01-19T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,292,47,339,4297,4636,56,225,27280,706,32622,556351,268826,2,32622
2021-01-19T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,46,2,48,350,398,-17,34,6888,398,7684,67065,40546,7684,228
2021-01-19T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,2164,318,2482,60689,63171,-5912,957,228769,8187,300127,3707016,1288715,300127,108882
