data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_antigenico_rapido
2021-01-22T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,441,40,481,10018,10499,-161,318,28469,1375,40343,614350,314649,27147
2021-01-22T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,83,5,88,6881,6969,28,51,5460,306,12735,204406,126376,1344
2021-01-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,278,24,302,9804,10106,138,368,19795,558,30459,494764,469935,1138
2021-01-22T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1438,104,1542,60591,62133,-9045,1106,146113,3557,211803,2299650,1529694,8479
2021-01-22T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2402,220,2622,48589,51211,-826,1347,147663,9051,207925,2908287,1318796,42552
2021-01-22T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,669,61,730,11360,12090,-90,452,48858,2206,63154,1077328,393779,16405
2021-01-22T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2673,289,2962,68484,71446,-1239,1141,119270,4624,195340,3096428,2236554,119409
2021-01-22T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,615,61,676,3842,4518,-85,313,59381,3203,67102,805701,356370,18065
2021-01-22T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3579,408,3987,49228,53215,160,1969,442631,26518,522364,5383007,2766601,59574
2021-01-22T17:00:00,ITA,11,Marche,43.61675973,13.5188753,555,79,634,7637,8271,197,437,41858,1852,51981,653333,388208,12186
2021-01-22T17:00:00,ITA,14,Molise,41.55774754,14.65916051,53,8,61,990,1051,6,57,6454,244,7749,130245,118317,191
2021-01-22T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,227,24,251,12790,13041,218,510,21762,834,35637,436669,173733,32834
2021-01-22T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,219,41,260,1785,2045,39,179,22755,1093,25893,502258,159147,7925
2021-01-22T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2342,152,2494,10862,13356,-237,849,194223,8548,216127,1907355,1055264,88093
2021-01-22T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1327,153,1480,53067,54547,-237,1018,56611,2975,114133,1230116,729722,9520
2021-01-22T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,449,52,501,16502,17003,-113,212,18746,936,36685,547436,455697,543491
2021-01-22T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1441,222,1663,45626,47289,391,1355,77269,3161,127719,1560423,935211,137985
2021-01-22T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,642,110,752,7450,8202,-101,429,117543,4068,129813,2108893,1139530,40850
2021-01-22T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,283,44,327,4553,4880,159,305,27884,726,33490,572082,272550,33490
2021-01-22T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,40,2,42,289,331,-10,19,6984,400,7715,67890,40791,351
2021-01-22T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1935,291,2226,47624,49850,-3707,1198,245398,8439,303687,3830872,1298664,186365
