data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-06T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,461,49,510,10042,10552,326,509,32918,1502,44972,736955,379823,0,645388,91567
2021-02-06T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,84,1,85,3192,3277,-64,85,9995,337,13609,220528,132669,13609,0,215657
2021-02-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,249,27,276,7866,8142,-205,197,25305,617,34064,534256,504906,6,529061,5195
2021-02-06T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1499,108,1607,62633,64240,921,1546,162264,3888,230392,2525894,1788715,1980,2486116,39778
2021-02-06T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1956,183,2139,40509,42648,-488,1383,173085,9812,225545,3247836,1385467,225479,66,3070594
2021-02-06T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,533,63,596,10276,10872,-183,413,56408,2547,69827,1191476,432116,3136,1141573,49903
2021-02-06T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2273,270,2543,53900,56443,-378,1014,149818,5239,211500,3498179,2485629,1363,3146270,351909
2021-02-06T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,609,61,670,3924,4594,107,276,63346,3445,71385,898257,388159,0,843214,55043
2021-02-06T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3540,354,3894,44415,48309,107,1923,472266,27395,547970,5852056,2885842,2276,5665314,186742
2021-02-06T17:00:00,ITA,11,Marche,43.61675973,13.5188753,531,75,606,7019,7625,-302,436,48089,2033,57747,718208,433086,0,684797,33411
2021-02-06T17:00:00,ITA,14,Molise,41.55774754,14.65916051,66,12,78,1235,1313,20,78,7178,285,8776,142685,129134,0,142413,272
2021-02-06T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,242,34,276,4716,4992,-1381,802,38122,897,44011,543822,185338,6231,441234,102588
2021-02-06T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,131,28,159,2465,2624,109,278,24949,1160,28733,546110,163333,2987,521072,25038
2021-02-06T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2007,140,2147,10035,12182,-13,717,206479,8994,227655,2178038,1128845,2576,1920280,257758
2021-02-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1427,157,1584,49491,51075,49,926,73859,3391,128325,1366157,783795,413,1338188,27969
2021-02-06T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,394,31,425,14223,14648,-58,125,23709,1016,39373,599083,491094,3,586138,12945
2021-02-06T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1228,177,1405,37861,39266,-288,836,98057,3657,140980,1936886,1019978,0,1563868,373018
2021-02-06T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,643,109,752,9513,10265,173,708,123389,4296,137950,2327331,1237112,165,2206468,120863
2021-02-06T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,388,70,458,6124,6582,184,351,30689,831,38102,671839,291099,38102,0,616821
2021-02-06T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,24,3,27,141,168,-11,8,7266,408,7842,71659,41965,0,70246,1413
2021-02-06T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1123,158,1281,25936,27217,-709,831,279870,9253,316340,4348682,1338389,1848,3813994,534688
