data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-02-08T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,487,49,536,10418,10954,-22,184,33120,1518,45592,770149,402022,651966,118183
2021-02-08T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,82,1,83,3185,3268,-24,15,10090,343,13701,221863,133264,0,216928
2021-02-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,234,25,259,7305,7564,-239,142,26144,625,34333,538810,509214,532203,6607
2021-02-08T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1542,110,1652,64056,65708,236,1189,163710,3904,233322,2555030,1800322,2511304,43726
2021-02-08T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2002,183,2185,40588,42773,-488,1273,175556,9869,228198,3275041,1392846,67,3088607
2021-02-08T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,527,63,590,10152,10742,-45,132,56907,2595,70244,1198414,434761,1147226,51188
2021-02-08T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2248,272,2520,47030,49550,-3808,782,158361,5291,213202,3534649,2506811,3163773,370876
2021-02-08T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,609,63,672,4122,4794,143,220,63709,3466,71969,906468,391081,848493,57975
2021-02-08T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3491,362,3853,42521,46374,-2466,895,476502,27504,550380,5893600,2899283,5699756,193844
2021-02-08T17:00:00,ITA,11,Marche,43.61675973,13.5188753,536,73,609,7060,7669,43,171,48593,2050,58312,724002,436633,689309,34693
2021-02-08T17:00:00,ITA,14,Molise,41.55774754,14.65916051,71,11,82,1322,1404,49,84,7254,293,8951,144168,130457,143889,279
2021-02-08T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,250,30,280,5176,5456,167,255,38373,907,44736,551854,186416,444834,107020
2021-02-08T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,141,28,169,2428,2597,-79,66,25207,1170,28974,549351,163822,523005,26346
2021-02-08T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2036,148,2184,10107,12291,-31,483,207457,9014,228762,2196114,1134772,1929202,266912
2021-02-08T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1450,164,1614,48671,50285,-981,377,75760,3422,129467,1378491,788200,1348713,29778
2021-02-08T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,380,35,415,14112,14527,-158,56,24033,1023,39583,602824,493759,589328,13496
2021-02-08T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1192,181,1373,37559,38932,-77,478,99396,3704,142032,1983965,1028509,1578087,405878
2021-02-08T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,691,112,803,9916,10719,279,523,124089,4333,139141,2347868,1248041,2221804,126064
2021-02-08T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,423,77,500,6402,6902,118,190,30932,840,38674,681597,292665,0,621186
2021-02-08T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,25,3,28,137,165,3,13,7281,410,7856,71962,42078,70510,1452
2021-02-08T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1110,153,1263,25667,26930,-40,442,281049,9299,317278,4380776,1342044,3827806,552970
