data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati
2021-03-06T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,631,86,717,12390,13107,-9,442,42046,1791,56944,1057893,525994
2021-03-06T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,94,13,107,3847,3954,78,178,12113,378,16445,259872,152047
2021-03-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,218,24,242,6343,6585,198,293,31853,704,39142,598842,564972
2021-03-06T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1385,148,1533,85900,87433,2223,2843,190777,4451,282661,3066706,2118676
2021-03-06T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2753,275,3028,49414,52442,2128,3232,213413,10746,276601,4063252,1544781
2021-03-06T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,409,63,472,11214,11686,293,661,65698,2899,80283,1399685,499211
2021-03-06T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1896,242,2138,35031,37169,607,1563,199572,6029,242770,4318699,2951382
2021-03-06T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,506,59,565,5295,5860,67,272,70475,3681,80016,1073971,455775
2021-03-06T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4934,565,5499,75155,80654,4526,5658,520251,28705,629610,6937085,3200247
2021-03-06T17:00:00,ITA,11,Marche,43.61675973,13.5188753,600,94,694,9596,10290,87,836,59651,2318,72259,871403,531927
2021-03-06T17:00:00,ITA,14,Molise,41.55774754,14.65916051,89,19,108,1585,1693,-65,49,9042,373,11108,167177,151412
2021-03-06T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,183,37,220,5391,5611,-725,218,48475,1056,55142,869575,198664
2021-03-06T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,185,48,233,3826,4059,146,324,30372,1220,35651,630456,173806
2021-03-06T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2263,192,2455,19000,21455,954,1793,226737,9486,257678,2714259,1304576
2021-03-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1283,156,1439,33414,34853,603,1483,115362,4087,154302,1613815,889948
2021-03-06T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,191,24,215,12431,12646,-40,73,27821,1183,41650,791879,543671
2021-03-06T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,662,121,783,18944,19727,-2951,592,131862,4223,155812,2589844,1158058
2021-03-06T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1081,189,1270,19428,20698,546,1293,137614,4784,163096,2863126,1515066
2021-03-06T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,426,82,508,6917,7425,-178,283,37677,1095,46197,848593,318574
2021-03-06T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,10,2,12,161,173,2,16,7525,416,8114,79798,45020
2021-03-06T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,902,132,1034,27258,28292,852,1539,303036,9953,341281,5255579,1423350
